# Stretch,Cauchy_stress
1.000000000000000000e+00,1.003046288728731694e-02
1.002597893344669533e+00,3.786714682494046139e-03
1.005431958811581872e+00,6.225276511451952694e-04
1.008218789854045561e+00,-2.528225288474183173e-03
1.011005620896509472e+00,6.259786641506979955e-04
1.013839686363421588e+00,-2.542320336931828614e-03
1.016626517405885499e+00,6.294589230291288817e-04
1.019460582872797616e+00,-2.556415385389473188e-03
1.022247413915261527e+00,3.860929009636114313e-03
1.025034244957725216e+00,6.346646884103110224e-04
1.027868310424637555e+00,-5.791416911152513433e-03
1.030655141467101243e+00,-2.584487036519404583e-03
1.033489206934013582e+00,6.398996996644213233e-04
1.036276037976477271e+00,-5.838789376121270892e-03
1.039062869018941182e+00,-2.605570386313193001e-03
1.041896934485853299e+00,-2.612677133434694165e-03
1.044683765528317210e+00,3.945668926444965280e-03
1.047470596570780677e+00,3.956194516111748508e-03
1.050304662037693237e+00,6.503112304267858216e-04
1.053091493080156926e+00,-5.933534306058788413e-03
1.055925558547069265e+00,3.988128084761821332e-03
1.058712389589532954e+00,-2.654843833022270568e-03
1.061499220631996643e+00,6.572425023107194338e-04
1.064333286098908982e+00,-2.668938881479915141e-03
1.067120117141372670e+00,4.030408843253815813e-03
1.069954182608285009e+00,4.041112832745460612e-03
1.072741013650748698e+00,7.405863673753528172e-03
1.075527844693212387e+00,6.659285265703323523e-04
1.078361910160124726e+00,6.676832789460117670e-04
1.081148741202588415e+00,6.694087854487631301e-04
1.083982806669500754e+00,-9.530522237107083572e-03
1.086769637711964442e+00,4.104623170395883119e-03
1.089556468754428353e+00,-6.138992412552503677e-03
1.092390534221340470e+00,-6.154960659171184768e-03
1.095177365263804381e+00,4.136378339221095241e-03
1.098011430730716498e+00,-6.186631014964905778e-03
1.100798261773180409e+00,6.815750685868071515e-04
1.103585092815644098e+00,7.618801412248576987e-03
1.106419158282556436e+00,-9.727785650006377793e-03
1.109205989325020125e+00,6.867808339679892923e-04
1.112040054791932464e+00,-6.265673835727385114e-03
1.114826885834396153e+00,-6.281375944902422431e-03
1.117613716876860064e+00,4.221118256029946642e-03
1.120447782343772181e+00,-9.851127194492881323e-03
1.123234613386235869e+00,-2.816640775821789219e-03
1.126068678853148208e+00,6.972216106032817339e-04
1.128855509895611897e+00,-9.925049062905668545e-03
1.131642340938075586e+00,7.006726236087844600e-04
1.134476406404987925e+00,-6.392089121458621043e-03
