# Stretch,Cauchy_stress
1.000000000000000000e+00,5.380362926043051781e-03
1.002210100630113843e+00,8.271887132848635207e-03
1.004655318348537607e+00,1.689544453555909959e-02
1.007053512649299432e+00,1.693577534161168352e-02
1.009451706950061256e+00,1.697610614766427092e-02
1.011849901250823081e+00,1.410910601690091443e-02
1.014248095551584683e+00,1.414254613247215367e-02
1.016646289852346507e+00,1.709709856582202966e-02
1.019044484153108332e+00,1.713742937187461707e-02
1.021489701871532096e+00,1.424352216772648526e-02
1.023887896172293921e+00,1.721888178409847203e-02
1.026286090473055523e+00,1.725921259015105597e-02
1.028684284773817570e+00,1.434384251444020819e-02
1.031082479074579172e+00,1.733987420225622730e-02
1.033480673375340997e+00,1.738020500830881471e-02
1.035878867676102821e+00,1.742053581436140558e-02
1.038277061976864424e+00,1.746086662041398604e-02
1.040722279695288410e+00,1.155072589828239592e-02
1.043120473996050013e+00,1.754231903263784101e-02
1.045518668296812059e+00,1.758264983869043188e-02
1.047916862597573662e+00,1.163057684091917468e-02
1.050315056898335486e+00,1.766331145079559975e-02
1.052713251199097311e+00,1.770364225684818715e-02
1.055158468917521075e+00,1.774476386301945471e-02
1.057556663218282678e+00,1.778509466907203518e-02
1.059954857519044502e+00,1.782542547512462605e-02
1.062353051819806327e+00,1.786575628117721345e-02
1.064751246120568151e+00,1.790608708722980086e-02
1.067149440421329976e+00,1.794641789328238479e-02
1.069594658139753518e+00,1.798753949945364888e-02
1.071945829022853403e+00,1.802707950538755960e-02
1.074391046741277167e+00,1.806820111155882022e-02
1.076789241042038991e+00,1.810853191761140762e-02
1.079187435342800816e+00,1.814886272366399850e-02
1.081585629643562640e+00,1.818919352971658590e-02
1.083983823944324243e+00,1.822952433576916983e-02
1.086382018245086289e+00,1.826985514182175724e-02
1.088827235963510054e+00,1.831097674799302133e-02
1.091225430264271656e+00,1.835130755404560873e-02
1.093623624565033481e+00,1.839163836009819614e-02
1.096021818865795305e+00,1.843196916615078354e-02
1.098420013166557130e+00,2.159742944823777461e-02
1.100818207467318732e+00,1.851263077825595488e-02
1.103263425185742497e+00,1.855375238442721550e-02
1.105661619486504543e+00,1.859408319047980984e-02
1.108059813787266146e+00,1.863441399653239378e-02
1.110458008088027748e+00,2.183412373903570111e-02
1.112856202388789795e+00,1.871507560863756858e-02
1.115254396689551397e+00,2.510145682636085590e-02
1.117699614407975162e+00,2.515649227582625325e-02
1.120050785291075046e+00,1.883606802679532732e-02
1.122496003009498811e+00,2.526444642670068116e-02
1.124894197310260635e+00,2.211797197057853784e-02
1.127292391611022238e+00,2.216512591132343071e-02
1.129690585911784284e+00,2.867229820446070762e-02
1.132088780212545887e+00,1.903851285717693756e-02
1.134486974513307711e+00,2.553433180388675269e-02
1.136932192231731475e+00,2.885609498782263499e-02
1.139330386532493300e+00,1.916029607545337646e-02
1.141728580833255124e+00,2.897783051965975576e-02
1.144126775134016727e+00,2.575129847966378671e-02
1.146524969434778773e+00,2.254328202435607054e-02
1.148923163735540376e+00,3.242925048285268119e-02
1.151368381453964140e+00,1.936274090583498322e-02
1.153766575754725965e+00,2.596826515544082767e-02
1.156164770055487789e+00,2.934423060077736428e-02
1.158562964356249614e+00,1.948373332399274890e-02
1.160961158657011216e+00,2.946596613261448158e-02
1.163359352957773041e+00,2.287428419664379667e-02
1.165757547258534865e+00,2.623815053262689573e-02
1.168155741559296468e+00,3.297210496030066745e-02
1.170600959277720232e+00,1.968617815437435567e-02
1.172999153578482279e+00,2.977149844781353666e-02
1.175397347879243881e+00,3.317650493469428974e-02
1.177795542180005706e+00,2.315813242818662993e-02
1.180193736480767530e+00,3.666967172626287019e-02
1.182591930781529355e+00,3.001496951148777473e-02
1.184990125082290957e+00,4.022351156412278667e-02
1.187435342800714722e+00,4.368490064237964821e-02
1.189833537101476768e+00,4.377312850285650786e-02
1.192231731402238371e+00,4.386135636333334670e-02
1.194629925703000195e+00,4.394958422381019941e-02
1.197028120003762020e+00,4.744349280443482808e-02
1.199426314304523844e+00,4.753854379960398280e-02
1.201871532022947608e+00,4.763545853977646516e-02
1.204222702906047493e+00,4.772864578994231305e-02
1.206667920624471257e+00,4.782556053011478847e-02
1.209066114925232860e+00,4.792061152528394319e-02
1.211464309225994684e+00,5.146241583570951295e-02
