# Stretch,Cauchy_stress
1.000000000000000000e+00,5.620329312536822240e-03
1.003313306237851199e+00,-5.950065732828585183e-03
1.006891676974730698e+00,9.561864742271426396e-03
1.010514225128114507e+00,9.596265975549165411e-03
1.014092595864993784e+00,9.630247681591814005e-03
1.017715144018377815e+00,9.664648914869551286e-03
1.021337692171761846e+00,9.699050148147293771e-03
1.024960240325145877e+00,5.760614082884203679e-03
1.028538611062025154e+00,9.767433087467679645e-03
1.032161159215409185e+00,9.801834320745420395e-03
1.035783707368793216e+00,9.836235554023161146e-03
1.039362078105672493e+00,9.870217260065806270e-03
1.042984626259056524e+00,5.861917067489037271e-03
1.046562996995935801e+00,9.938600199386193879e-03
1.050185545149319610e+00,9.973001432663931159e-03
1.053808093302703641e+00,1.000740266594167191e-02
1.057386464039582918e+00,1.004138437198431877e-02
1.061009012192966949e+00,1.007578560526205778e-02
1.064631560346350980e+00,1.011018683853979853e-02
1.068209931083230257e+00,1.014416854458244366e-02
1.071832479236614288e+00,1.017856977786018614e-02
1.075455027389998319e+00,1.438153060752075246e-02
1.079033398126877596e+00,1.024695271718057202e-02
1.082655946280261627e+00,1.447782495064537864e-02
1.086278494433645436e+00,1.452626750362831509e-02
1.089856865170524935e+00,1.875625787372139919e-02
1.093479413323908744e+00,2.305702505690898976e-02
1.097057784060788022e+00,1.888018450661221523e-02
1.100680332214172052e+00,1.045252106237682353e-02
1.104302880367556083e+00,3.180319700274017447e-02
1.107881251104435361e+00,2.336070113029911632e-02
1.111503799257819391e+00,3.631886658401584783e-02
1.115126347411203422e+00,3.211490573841530721e-02
1.118704718148082700e+00,1.925272469137603859e-02
1.122327266301466731e+00,3.667252804320042525e-02
1.125949814454850539e+00,3.242661447409043995e-02
1.129528185191730039e+00,3.252966919894630105e-02
1.133150733345113848e+00,3.702618950238499573e-02
1.136773281498497878e+00,2.837615093820865242e-02
1.140351652235377156e+00,3.726148263645472775e-02
1.143974200388761187e+00,3.294570494003107308e-02
1.147596748542145217e+00,2.864632647760944131e-02
1.151175119279024495e+00,3.761514409563931211e-02
1.154797667432408526e+00,3.325741367570620582e-02
1.158376038169287803e+00,2.891539925970655622e-02
1.161998586322671834e+00,4.242777560218754379e-02
1.165621134476055865e+00,2.909625145750953379e-02
1.169199505212935142e+00,2.465365324645093018e-02
1.172822053366319173e+00,3.377650414164683895e-02
1.176444601519703204e+00,2.024641861277668223e-02
1.180067149673087235e+00,2.488280758403979900e-02
1.183645520409966512e+00,2.495826084153856747e-02
1.187268068563350543e+00,2.043268870515859564e-02
1.190846439300229820e+00,2.049427187855832819e-02
1.194468987453613851e+00,2.055661533804942209e-02
1.198091535606997882e+00,1.602148825484566233e-02
1.201714083760381913e+00,2.068130225703159603e-02
1.205292454497261190e+00,3.008652751621120752e-02
1.208915002650644999e+00,1.616622515095322496e-02
1.212493373387524498e+00,2.086681206332215502e-02
1.216115921540908307e+00,2.092915552281323852e-02
1.219694292277787806e+00,1.158272743372112251e-02
1.223316840431171615e+00,2.579476732590767901e-02
1.226939388584555646e+00,1.640725639018541723e-02
1.230561936737939677e+00,2.594753688430025823e-02
1.234140307474818954e+00,3.554242955028801693e-02
1.237762855628202985e+00,3.089705413441357768e-02
1.241385403781587016e+00,4.056280409423074218e-02
1.244963774518466293e+00,5.028265423145841101e-02
1.248586322671850324e+00,5.042896478278659916e-02
1.252208870825234133e+00,5.057527533411478038e-02
1.255787241562113410e+00,5.071980161042676655e-02
1.259409789715497441e+00,5.086611216175494776e-02
1.263032337868881472e+00,5.590804869322547194e-02
1.266610708605760749e+00,5.115694898939512208e-02
1.270233256759144780e+00,6.110109893477700532e-02
1.273811627496024057e+00,6.621063414649168422e-02
1.277434175649408088e+00,5.159409636836348456e-02
1.281056723802792119e+00,8.143403776227864377e-02
1.284635094539671396e+00,7.175258036030832121e-02
1.288257642693055427e+00,9.182865379207606760e-02
1.291880190846439236e+00,8.707943083048924615e-02
1.295458561583318735e+00,9.234194450803603904e-02
1.299081109736702544e+00,1.026205193046063335e-01
1.302703657890086575e+00,1.079560769546732135e-01
1.306282028626965852e+00,1.284044165942349047e-01
1.309904576780349883e+00,1.237339705732624501e-01
1.313527124933733914e+00,1.342079406076670256e-01
1.317105495670613191e+00,1.599975434676928487e-01
1.320728043823997222e+00,1.655568581090424152e-01
1.324350591977381253e+00,1.813595243827749726e-01
1.327928962714260530e+00,2.074824664602462343e-01
1.331551510867644339e+00,2.183192847441058626e-01
1.335129881604523838e+00,2.189059893014952685e-01
1.338752429757907647e+00,2.505308975034566399e-01
1.342374977911291678e+00,2.667662761539579819e-01
1.345953348648170955e+00,3.038401307996739242e-01
1.349575896801554986e+00,3.255298926244254432e-01
1.353198444954939017e+00,3.682072732326456266e-01
1.356776815691818294e+00,4.058360990532171586e-01
1.360399363845202325e+00,4.226860251706697214e-01
1.364021911998586356e+00,4.554282594016800245e-01
1.367600282735465633e+00,5.147213380787533099e-01
1.371222830888849664e+00,5.531301746201532366e-01
1.374845379042233695e+00,6.076685268232577819e-01
1.378423749779112972e+00,6.465435283294462820e-01
1.382046297932497003e+00,6.962408033671069196e-01
1.385668846085881034e+00,7.623026269224204565e-01
1.389247216822760311e+00,8.125194290768175120e-01
1.392869764976144342e+00,8.738099300032130534e-01
1.396448135713023619e+00,9.569755279003325787e-01
1.400070683866407650e+00,1.029735078078587218e+00
1.403693232019791681e+00,1.113685570336022668e+00
1.407315780173175490e+00,1.198110166040948110e+00
1.410894150910054989e+00,1.277390987974706960e+00
1.414516699063438798e+00,1.373549270711388992e+00
1.418095069800318297e+00,1.481075833970416866e+00
1.421717617953702106e+00,1.583666195260065912e+00
1.425340166107086137e+00,1.686760078274343710e+00
1.428962714260469946e+00,1.812457242811612579e+00
1.432541084997349445e+00,1.922107747459930849e+00
1.436163633150733476e+00,2.048990317878546907e+00
1.439742003887612753e+00,2.176421677866635651e+00
1.443364552040996562e+00,2.304475691615270883e+00
1.446942922777876062e+00,2.438735275169399586e+00
1.449946987100194429e+00,2.566991559265457301e+00
