# Stretch,Cauchy_stress
1.000000000000000000e+00,-5.923849874214624431e-03
1.004509582863585271e+00,-9.410194178939089438e-03
1.009269698108480551e+00,-9.454786694065622429e-03
1.014155079544031057e+00,-9.500552696432330857e-03
1.018915194788926559e+00,-9.545145211558865583e-03
1.023675310033822061e+00,-9.589737726685402044e-03
1.028560691469372568e+00,-7.864271425917529479e-03
1.033320806714267848e+00,-9.680096244178643464e-03
1.038206188149818354e+00,-9.725862246545348422e-03
1.042966303394713856e+00,-7.974415283423377104e-03
1.047726418639609358e+00,-9.815047276798421344e-03
1.052611800075159865e+00,-9.860813279165129772e-03
1.057371915320055145e+00,-9.905405794291661029e-03
1.062257296755605651e+00,-2.615841115665710342e-03
1.067017412000501153e+00,-8.158307636824443931e-03
1.071777527245396433e+00,-6.349049169958703200e-03
1.076662908680947162e+00,-4.523922739602698195e-03
1.081423023925842442e+00,-6.406187644255901051e-03
1.086308405361393170e+00,-8.305804628614884069e-03
1.091068520606288450e+00,-1.022107386189792348e-02
1.095828635851183730e+00,-2.698511566019296763e-03
1.100714017286734459e+00,-4.624980699579860945e-03
1.105474132531629738e+00,-4.644981754158675029e-03
1.110234247776525018e+00,-8.221076261299669740e-04
1.115119629212075525e+00,-8.257251594052766571e-04
1.119879744456971027e+00,-8.292499354171168138e-04
1.124765125892521533e+00,1.104033621289960592e-03
1.129525241137417035e+00,-2.781490488202560587e-03
1.134410622572967542e+00,1.113501333600833186e-03
1.139170737817863044e+00,1.118173711104900742e-03
1.143930853062758324e+00,-2.816964748615479863e-03
1.148816234498308830e+00,3.105959710110112355e-03
1.153576349743204332e+00,-8.542016392904059480e-04
1.158336464988099834e+00,-8.577264153022459963e-04
1.163221846423650341e+00,3.144906975038982110e-03
1.167981961668545621e+00,-2.876191339913570979e-03
1.172867343104096127e+00,3.170984708947876922e-03
1.177627458348991629e+00,1.155921603045653202e-03
1.182387573593887131e+00,-2.911665600326491122e-03
1.187272955029437638e+00,3.209931973876747544e-03
1.192033070274332918e+00,-8.826781191755350220e-04
1.196918451709883424e+00,3.236009707785641488e-03
1.201678566954778926e+00,3.248879238805616430e-03
1.206438682199674428e+00,5.360071226847149678e-03
1.211324063635224935e+00,5.381776426499007560e-03
1.216084178880120437e+00,5.402925082570047416e-03
1.220969560315670943e+00,5.424630282221904430e-03
1.225729675560566223e+00,5.445778938292945154e-03
1.230489790805461725e+00,5.466927594363985878e-03
1.235375172241012232e+00,9.743386897904092805e-03
1.240135287485907734e+00,1.191650406646698433e-02
1.245020668921458240e+00,1.410743494390733280e-02
1.249780784166353520e+00,1.848726251042868973e-02
1.254666165601904027e+00,1.855952904725406000e-02
1.259426280846799528e+00,1.210187190750091311e-02
1.264186396091695030e+00,2.087734754682933624e-02
1.268946511336590310e+00,1.877076969335899140e-02
1.273831892772140817e+00,2.103663765395436674e-02
1.278592008017036319e+00,1.891344977888600662e-02
1.283477389452586825e+00,1.898571631571137688e-02
1.288237504697482327e+00,1.459712858065630517e-02
1.292997619942377607e+00,1.242446009839112860e-02
1.297883001377928336e+00,2.366884719090395217e-02
1.302643116622823394e+00,2.375565504663740279e-02
1.307528498058374122e+00,2.384474731962700836e-02
1.312288613303269624e+00,2.621397922891231455e-02
1.317048728548164904e+00,2.630906620969683182e-02
1.321934109983715633e+00,3.323596293103110721e-02
1.326694225228610691e+00,2.650174246023389094e-02
1.331579606664161419e+00,4.038053722112595195e-02
1.336339721909056699e+00,4.282613208684891287e-02
1.341225103344607428e+00,4.298269556185708995e-02
1.345985218589502708e+00,4.313524458878811862e-02
1.350745333834397988e+00,4.561384378314092131e-02
1.355630715269948494e+00,4.577882012623119695e-02
1.360390830514843996e+00,5.533363366464751076e-02
1.365276211950394503e+00,6.260907551062380727e-02
1.370036327195290005e+00,6.282736570875242788e-02
1.374796442440185507e+00,6.541312327101475588e-02
1.379556557685080787e+00,6.326394610500964133e-02
1.384441939120631293e+00,6.348798078203636563e-02
1.389202054365526795e+00,7.569156642179572514e-02
1.394087435801077302e+00,8.078313125664668415e-02
1.398847551045972804e+00,7.862599206600281998e-02
1.403607666290868083e+00,8.375188140262880554e-02
1.408493047726418590e+00,8.646888186411780253e-02
1.413253162971314092e+00,9.408652251219831730e-02
1.418138544406864598e+00,1.017380778043780604e-01
1.422898659651760100e+00,1.045543759949839613e-01
1.427784041087310607e+00,1.049133530760478356e-01
1.432544156332205887e+00,1.200892654092970274e-01
1.437304271577101389e+00,1.130382249551100116e-01
1.442189653012651895e+00,1.084553970389128541e-01
1.446949768257547397e+00,1.237885976481126887e-01
