# Stretch,Cauchy_stress
1.000000000000000000e+00,3.267117301843353201e-03
1.003704357029458372e+00,-5.958019201851532179e-03
1.007761509966484281e+00,-1.344813759083876743e-03
1.011759863585582453e+00,9.776943840599111330e-04
1.015758217204680181e+00,9.815581149901179015e-04
1.019756570823778352e+00,9.854218459203251037e-04
1.023754924442876524e+00,-1.366156272793592284e-03
1.027753278061974251e+00,9.931493077807392912e-04
1.031751631681072423e+00,9.970130387109464934e-04
1.035808784618098333e+00,-1.382241623199811616e-03
1.039807138237196504e+00,1.004797320143863875e-03
1.043805491856294232e+00,-1.392912880054669169e-03
1.047803845475392404e+00,1.012524782004278279e-03
1.051802199094490575e+00,1.016388512934485481e-03
1.055859352031516485e+00,1.020309063437195660e-03
1.059857705650614212e+00,3.462679447623121919e-03
1.063856059269712384e+00,1.028036525297609631e-03
1.067854412888810556e+00,1.031900256227817050e-03
1.071852766507908283e+00,1.035763987158023602e-03
1.075909919444934193e+00,3.515123913043433166e-03
1.079849473746104405e+00,1.043491449018438223e-03
1.083906626683130536e+00,-1.446426094576824025e-03
1.087904980302228264e+00,1.051275730451355171e-03
1.091903333921326436e+00,1.055139461381562590e-03
1.095901687540424607e+00,3.580439364482649288e-03
1.099900041159522335e+00,-3.998404139815054173e-03
1.103957194096548244e+00,-1.473182701837900694e-03
1.107955547715646416e+00,-1.478518330265330121e-03
1.111953901334744588e+00,-1.483853958692758898e-03
1.115952254953842315e+00,3.645946920190803499e-03
1.119950608572940487e+00,-1.494525215547616668e-03
1.124007761509966397e+00,-4.086041566166181971e-03
1.128006115129064568e+00,-1.505274937526407224e-03
1.132004468748162296e+00,-4.115111541736311482e-03
1.136002822367260467e+00,1.097754140758846900e-03
1.140001175986358639e+00,-1.521281822808693987e-03
1.143999529605456367e+00,-1.208133465719620978e-02
1.147997883224554538e+00,1.109345333549468507e-03
1.152055036161580448e+00,-4.188000230482004892e-03
1.156053389780678620e+00,-1.542702801642342313e-03
1.160051743399776347e+00,3.790025121894955318e-03
1.164050097018874519e+00,-4.231605193837199158e-03
