# Stretch,Cauchy_stress
1.000000000000000000e+00,-4.584668703628128061e-03
1.004596032897919544e+00,-4.605739991816065228e-03
1.009373488147072839e+00,-4.627643041379842122e-03
1.014211417513304347e+00,-4.649823344735567326e-03
1.018988872762457643e+00,-2.911113088985038851e-03
1.023826802128688929e+00,-2.924934397419389626e-03
1.028664731494920215e+00,-4.716087001010792028e-03
1.033442186744073288e+00,-2.952404247932660132e-03
1.038280116110304796e+00,-4.760170353930294126e-03
1.043057571359458091e+00,-4.782073403494071021e-03
1.047895500725689377e+00,-2.993695406880282715e-03
1.052733430091920663e+00,-4.826434010205517960e-03
1.057510885341073736e+00,-4.848337059769294854e-03
1.062348814707305245e+00,-3.034986565827903996e-03
1.067126269956458540e+00,-4.892420412688796953e-03
1.071964199322689826e+00,-3.062456416341175804e-03
1.076741654571843121e+00,-4.936503765608298185e-03
1.081579583938074407e+00,-4.958684068964021655e-03
1.086357039187227702e+00,-3.103574808933367343e-03
1.091194968553458988e+00,-5.002767421883522886e-03
1.095972423802612505e+00,-5.024670471447301515e-03
1.100810353168843569e+00,-5.046850774803024117e-03
1.105587808417997087e+00,-5.068753824366801879e-03
1.110425737784228151e+00,-5.090934127722524481e-03
1.115203193033381668e+00,-5.112837177286303110e-03
1.120041122399612954e+00,-5.135017480642027447e-03
1.124818577648766249e+00,-5.156920530205804341e-03
1.129656507014997535e+00,-5.179100833561528679e-03
1.134433962264150830e+00,-5.201003883125306440e-03
1.139271891630382116e+00,-5.223184186481029043e-03
1.144049346879535412e+00,-5.245087236044806804e-03
1.148887276245766698e+00,-3.282215220447345927e-03
1.153664731494920215e+00,-5.289170588964308903e-03
1.158502660861151279e+00,-5.311350892320031505e-03
1.163340590227382565e+00,-5.333531195675755843e-03
1.168118045476535860e+00,-5.355434245239532737e-03
1.172955974842767146e+00,-5.377614548595256207e-03
1.177733430091920663e+00,-5.399517598159035703e-03
1.182571359458151727e+00,-5.421697901514758305e-03
1.187348814707305245e+00,-5.443600951078536067e-03
1.192186744073536309e+00,-5.465781254434259537e-03
1.196964199322689826e+00,-5.487684303998036431e-03
1.201802128688921112e+00,-3.433385781448052704e-03
1.206579583938074407e+00,-5.531767656917538530e-03
1.211417513304305693e+00,-5.553947960273261999e-03
1.216255442670536757e+00,-5.576128263628985469e-03
1.221032897919690274e+00,-5.598031313192762363e-03
1.225870827285921560e+00,-5.620211616548487568e-03
1.230648282535075078e+00,-5.642114666112264462e-03
1.235486211901306142e+00,-5.664294969467988800e-03
1.240263667150459437e+00,-5.686198019031765694e-03
1.245101596516690723e+00,-5.708378322387490031e-03
1.249879051765844018e+00,-5.730281371951266058e-03
1.254716981132075526e+00,-5.752461675306991262e-03
1.259494436381228821e+00,-3.598204884527680513e-03
1.264332365747459885e+00,-5.796545028226491626e-03
1.269109820996613402e+00,-3.625674735040951453e-03
1.273947750362844467e+00,2.985694359018660395e-03
1.278725205611997984e+00,7.656291047568730820e-04
1.283563134978229270e+00,3.008229505846913253e-03
1.288340590227382565e+00,3.019426214019441026e-03
1.293178519593613851e+00,7.742829404644584234e-04
1.298016448959844915e+00,7.527539766139939442e-03
1.302793904208998432e+00,7.800400947636469814e-04
1.307631833575229718e+00,9.842633757591406213e-03
1.312409288824383236e+00,5.343421293627282319e-03
1.317247218190614300e+00,3.087173384987395176e-03
1.322024673439767817e+00,9.950969642265447904e-03
1.326862602805998881e+00,3.109708531815647600e-03
1.331640058055152176e+00,7.722531944204317524e-03
1.336477987421383684e+00,1.005976071973223480e-02
1.341255442670536757e+00,3.143440386816427363e-03
1.346093372036768265e+00,1.245792222321485086e-02
1.350870827285921560e+00,1.250213696132680512e-02
1.355708756652152625e+00,1.254691137966802185e-02
1.360486211901306142e+00,1.259112611777997610e-02
1.365324141267537428e+00,1.263590053612119457e-02
1.370101596516690723e+00,1.741464999769912897e-02
1.374939525882922009e+00,2.700216888553673075e-02
1.379777455249153295e+00,1.992162016564279908e-02
1.384554910498306590e+00,2.958324340561072074e-02
1.389392839864537876e+00,2.728601469674553359e-02
1.394170295113691171e+00,2.978869156903033583e-02
1.399008224479922458e+00,3.230927407053531958e-02
1.403846153846153744e+00,3.242100321057347911e-02
1.408623609095307039e+00,3.496516159515559302e-02
1.413461538461538325e+00,4.732035404675071638e-02
1.418238993710691842e+00,4.010471548578898454e-02
1.423076923076922906e+00,4.024152161059126043e-02
1.427854378326076423e+00,3.790956479522663430e-02
1.432692307692307487e+00,4.298883564216405412e-02
1.437469762941461005e+00,5.309144241804277659e-02
1.442307692307692291e+00,5.327012627977788239e-02
1.447085147556845364e+00,5.594685646166062953e-02
1.451923076923076872e+00,5.864253818165784254e-02
1.456700532172230167e+00,7.396177747138923952e-02
1.461538461538461453e+00,7.420741605482129855e-02
1.466315916787614748e+00,7.951699790242404420e-02
1.471153846153846034e+00,8.740495208015838791e-02
1.475931301402999329e+00,9.281428218658836771e-02
1.480769230769230616e+00,9.567699586735539663e-02
1.485607160135461902e+00,9.855642753796517441e-02
1.490384615384615197e+00,1.117743282681323697e-01
1.495222544750846705e+00,1.173040620408895979e-01
1.499999999999999778e+00,1.332547644287734867e-01
1.504837929366231064e+00,1.362846145577468748e-01
1.509615384615384581e+00,1.393256013922064551e-01
1.514453313981615645e+00,1.397721041407293252e-01
1.519230769230769162e+00,1.507127591256330057e-01
1.524068698597000449e+00,1.617519395559978979e-01
1.528846153846153744e+00,1.675420725730210891e-01
1.533684083212385030e+00,1.839979199900118045e-01
1.538461538461538325e+00,1.845710770295296288e-01
1.543299467827769611e+00,2.011506055009553429e-01
1.548076923076922906e+00,2.124988680447706113e-01
1.552914852443154192e+00,2.292883159142757032e-01
1.557692307692307487e+00,2.407592580883819444e-01
1.562530237058538773e+00,2.388072693186474305e-01
1.567368166424770060e+00,2.558221131411852478e-01
1.572145621673923355e+00,2.729000373740361751e-01
1.576983551040154863e+00,2.819409607563420073e-01
1.581761006289307936e+00,2.992199974412615426e-01
