# Stretch,Cauchy_stress
1.000000000000000000e+00,-3.648421369940356776e-03
1.003917446971144711e+00,-3.662713867185489382e-03
1.007930441429390367e+00,-3.677354961924405446e-03
1.011943435887636245e+00,-6.687960069857328861e-03
1.015956430345881900e+00,-3.706637151402237575e-03
1.019969424804127778e+00,-3.721278246141153639e-03
1.023982419262373433e+00,-3.735919340880069703e-03
1.027995413720619311e+00,-3.750560435618985767e-03
1.032008408178864967e+00,-3.765201530357900964e-03
1.036021402637110622e+00,-3.779842625096817461e-03
1.040034397095356500e+00,-3.794483719835733959e-03
1.044047391553602155e+00,-3.809124814574649590e-03
1.048060386011847811e+00,-3.823765909313565220e-03
1.052073380470093689e+00,-3.838407004052481718e-03
1.056086374928339566e+00,-3.853048098791397782e-03
1.060099369386585222e+00,-6.974521496530074237e-04
1.064112363844831100e+00,-3.882330288269230344e-03
1.068029810815975589e+00,-3.896622785514362083e-03
1.072138352761322411e+00,-7.053727418888143877e-04
1.076055799732467122e+00,-7.079500774576087370e-04
1.080068794190712778e+00,-3.940546069731109408e-03
1.084081788648958655e+00,-7.132304722814801186e-04
1.088094783107204311e+00,-3.969828259208941536e-03
1.092203325052551133e+00,-7.185737289484927333e-04
1.096120772023695844e+00,-3.999110448686773664e-03
1.100133766481941500e+00,-4.013751543425690162e-03
1.104146760940187377e+00,2.575529719482288864e-03
1.108159755398433255e+00,-7.290716567530942634e-04
1.112172749856678911e+00,-7.317118541650297374e-04
1.116185744314924566e+00,2.603611819227422911e-03
1.120198738773170444e+00,-4.086957017120270916e-03
1.124211733231416099e+00,2.622333219057512710e-03
1.128224727689661755e+00,5.971920816130032832e-03
1.132237722147907633e+00,-4.130880301337018674e-03
1.136250716606153288e+00,6.014403992667544281e-03
1.140263711064398944e+00,-7.501932360485794645e-04
1.144276705522644821e+00,-7.528334334605151553e-04
1.148289699980890699e+00,6.078128757473809721e-03
1.152302694439136355e+00,-4.204085775031598561e-03
1.156315688897382010e+00,2.697218818377869736e-03
1.160328683355627888e+00,-7.633942231082579185e-04
1.164341677813873543e+00,-4.248009059248346320e-03
1.168354672272119199e+00,6.184336698817584875e-03
1.172272119243263910e+00,1.321645393044764555e-02
1.176380661188610732e+00,1.674557209417528239e-02
1.180298108159755444e+00,9.777248203907646512e-03
1.184311102618001099e+00,2.040015392474349085e-02
1.188324097076246977e+00,1.339742746213850970e-02
1.192337091534492632e+00,9.876975660694852638e-03
1.196445633479839676e+00,2.060917526790141327e-02
1.200363080450984388e+00,9.943460631886325701e-03
1.204376074909230043e+00,2.074577976776052768e-02
1.208389069367475699e+00,1.720120616268963967e-02
1.212402063825721577e+00,1.725833043396606675e-02
1.216415058283967232e+00,2.455447883621572278e-02
1.220428052742212888e+00,2.463548489317283693e-02
1.224441047200458765e+00,2.471649095012995803e-02
1.228454041658704421e+00,2.479749700708707219e-02
1.232467036116950077e+00,2.856420722168036275e-02
1.236480030575195954e+00,4.707178534968097655e-02
1.240493025033441832e+00,4.722455677265344209e-02
1.244506019491687487e+00,3.997113156488784486e-02
1.248519013949933143e+00,5.126380736554245893e-02
1.252532008408179021e+00,4.768287104157082484e-02
1.256545002866424676e+00,5.531348445232341787e-02
1.260557997324670332e+00,5.549013766097656009e-02
1.264570991782916209e+00,5.566679086962971618e-02
1.268583986241161865e+00,7.098035589026306658e-02
1.272596980699407743e+00,7.877826180975376624e-02
1.276514427670552232e+00,6.760665506163282545e-02
1.280622969615899276e+00,8.310481388465071340e-02
1.284540416587043987e+00,8.716204867939116030e-02
1.288553411045289643e+00,7.595112470574183483e-02
1.292566405503535298e+00,8.001443995512794172e-02
1.296579399961781176e+00,8.797894976043872661e-02
1.300687941907127776e+00,8.825773346270096575e-02
1.304605388878272487e+00,9.242498505500824912e-02
1.308618383336518365e+00,1.044104583715669277e-01
1.312631377794764020e+00,8.906815120183544932e-02
1.316644372253009676e+00,1.207218265710260086e-01
1.320657366711255554e+00,1.210897740830712277e-01
1.324670361169501431e+00,1.254191606556225580e-01
1.328683355627747087e+00,1.337062545810825398e-01
1.332696350085992965e+00,1.500119937882239962e-01
1.336709344544238620e+00,1.544611493160985560e-01
1.340722339002484276e+00,1.549248639888130552e-01
1.344735333460730153e+00,1.553885786615276099e-01
1.348748327918975809e+00,1.719054022232245904e-01
1.352761322377221465e+00,1.764623258090954327e-01
1.356774316835467342e+00,1.891175692054728741e-01
1.360691763806612054e+00,1.936920826779972848e-01
1.364800305751958875e+00,2.146025376159360620e-01
1.368813300210204531e+00,2.193269937284914872e-01
1.372826294668450409e+00,2.240754516357010007e-01
1.376839289126696064e+00,2.493116414445758211e-01
1.380756736097840776e+00,2.335869142520941022e-01
1.384865278043187597e+00,2.383820070748448872e-01
1.388782725014332309e+00,2.597806385145496888e-01
1.392795719472577964e+00,2.729434970090063306e-01
1.396808713930823620e+00,2.779070852875843434e-01
1.400821708389069498e+00,2.954202947792799461e-01
1.404834702847315153e+00,3.087860884475358558e-01
1.408847697305560809e+00,3.306918835229918363e-01
1.412860691763806686e+00,3.316338339541864966e-01
1.416873686222052564e+00,3.452025627962416743e-01
