# Stretch,Cauchy_stress
1.000000000000000000e+00,-6.179741825708195274e-03
1.002955855986819689e+00,-1.075687382679297623e-03
1.006153995251247713e+00,-3.648444684765167999e-03
1.009352134515675514e+00,-1.082547501266294858e-03
1.012598730435625205e+00,-1.086029531155149452e-03
1.015796869700053229e+00,-3.683410996278762423e-03
1.018995008964481253e+00,-1.092889649742146904e-03
1.022193148228909054e+00,-1.096319709035645197e-03
1.025391287493337300e+00,-1.099749768329144140e-03
1.028589426757765102e+00,-1.103179827622642432e-03
1.031787566022193126e+00,-1.106609886916140942e-03
1.035034161942142594e+00,-1.110091916804995535e-03
1.038232301206570618e+00,-1.113521976098494261e-03
1.041430440470998642e+00,-3.776361643468165684e-03
1.044628579735426666e+00,-1.120382094685491497e-03
1.047875175655376134e+00,-3.799731087846598254e-03
1.051073314919804158e+00,-3.811327954981759674e-03
1.054271454184232182e+00,-1.130724243161343109e-03
1.057469593448660206e+00,-6.534889076049326881e-03
1.060667732713088007e+00,-1.137584361748340345e-03
1.063865871977516031e+00,-1.141014421041839071e-03
1.067064011241944055e+00,-1.144444480335337581e-03
1.070310607161893746e+00,-1.147926510224192391e-03
1.073508746426321547e+00,-1.151356569517690684e-03
1.076706885690749571e+00,-1.154786628811189193e-03
1.079905024955177595e+00,-1.158216688104687919e-03
1.083103164219605619e+00,-3.927472336441487077e-03
1.086349760139555087e+00,-1.165128777287041022e-03
1.089547899403983111e+00,-1.168558836580539748e-03
1.092746038668410913e+00,-1.171988895874038258e-03
1.095944177932839159e+00,1.623197604755170038e-03
1.099142317197266960e+00,-1.178849014461035493e-03
1.102340456461694984e+00,-3.997229249360566630e-03
1.105538595726123008e+00,-1.185709133048032512e-03
1.108785191646072699e+00,-1.189191162936887322e-03
1.111983330910500500e+00,-6.871769899517937361e-03
1.115181470174928524e+00,-1.196051281523884341e-03
1.118379609439356326e+00,-1.199481340817382851e-03
1.121577748703784572e+00,-1.202911400110881794e-03
1.124824344623734040e+00,-1.206393429999736170e-03
1.128022483888162064e+00,-1.209823489293235113e-03
1.131220623152589866e+00,-1.213253548586733406e-03
1.134418762417018112e+00,-4.113549340928403762e-03
1.137616901681445913e+00,-1.220113667173730642e-03
1.140815040945873937e+00,1.689655622264268952e-03
1.144061636865823406e+00,-1.227025756356083745e-03
1.147259776130251430e+00,-4.160112519577158739e-03
1.150457915394679453e+00,1.703937636826159284e-03
1.153656054659107477e+00,-1.237315934236579490e-03
1.156854193923535279e+00,-1.240745993530077999e-03
1.160100789843484970e+00,1.718219651388049832e-03
1.163298929107912993e+00,1.722956399936214668e-03
1.166497068372341017e+00,-1.251088142005930262e-03
1.169695207636768819e+00,-1.254518201299428337e-03
1.172893346901196843e+00,1.737166645580708740e-03
1.176091486165624866e+00,1.741903394128873793e-03
1.179289625430052890e+00,-4.276256901036885709e-03
1.182536221350002359e+00,1.751448660142599289e-03
1.185734360614430383e+00,1.756185408690764125e-03
1.188932499878858406e+00,-7.347295897445185221e-03
1.192130639143286430e+00,-1.278580586949274855e-03
1.195328778407714232e+00,-4.334416946820803841e-03
