# Stretch,Cauchy_stress
1.000000000000000000e+00,2.677596041059409140e-02
1.003382487078139151e+00,2.370947572593003205e-02
1.006955001520218884e+00,1.748898632818709012e-02
1.010565521435086600e+00,3.020672065163853420e-02
1.014176041349954316e+00,2.080541771002202001e-02
1.017786561264822032e+00,3.042256408615568938e-02
1.021397081179689748e+00,2.734888780916373135e-02
1.025007601094557463e+00,1.780252731727517690e-02
1.028618121009425401e+00,3.074632923793143777e-02
1.032228640924293117e+00,2.439109733405021505e-02
1.035839160839160833e+00,1.799065191072802758e-02
1.039449680754028549e+00,3.107009438970717574e-02
1.043022195196108060e+00,2.139718507153248045e-02
1.046632715110975997e+00,2.802459614424409468e-02
1.050281240498631918e+00,2.812228891558101948e-02
1.053891760413499412e+00,1.830419289981611436e-02
1.057464274855579145e+00,3.160856695792367554e-02
1.061074794770446861e+00,1.842894920915853427e-02
1.064685314685314577e+00,2.184159534302255318e-02
1.068295834600182515e+00,3.193233210969941699e-02
1.071906354515050230e+00,1.861707380261138842e-02
1.075516874429917946e+00,2.879799725066137933e-02
1.079127394344785440e+00,1.874249019824661758e-02
1.082737914259653378e+00,1.880519839606423910e-02
1.086348434174521094e+00,3.247194069599231708e-02
1.089958954089388810e+00,2.575523860247518754e-02
1.093531468531468542e+00,2.583965550782867451e-02
1.097141988446336258e+00,2.937703044743958034e-02
1.100752508361203974e+00,1.565465913602263892e-02
1.104363028276071690e+00,2.609560038044297231e-02
1.107973548190939406e+00,2.618091533798106579e-02
1.111584068105807122e+00,1.930620389231236037e-02
1.115194588020674837e+00,3.333417841598455833e-02
1.118805107935542553e+00,1.943162028794759300e-02
1.122415627850410491e+00,2.302590973318644624e-02
1.126026147765278207e+00,3.015043155385686152e-02
1.129598662207357940e+00,1.606490276700842101e-02
1.133209182122225656e+00,2.677722198856315183e-02
1.136819702037093149e+00,2.332140358037019384e-02
1.140430221951961087e+00,1.980720938856048163e-02
1.144040741866828803e+00,2.346954033753355026e-02
1.147651261781696519e+00,2.354360871611523368e-02
1.151261781696564235e+00,1.999533398201333578e-02
1.154872301611431951e+00,2.728911173379174396e-02
1.158482821526299666e+00,2.012075037764856841e-02
1.162093341441167604e+00,2.745974164886794827e-02
1.165703861356035320e+00,2.391395060902362646e-02
1.169276375798114831e+00,1.662919044915486810e-02
1.172886895712982547e+00,2.406130769904401417e-02
1.176497415627850263e+00,2.043363128044383900e-02
1.180107935542717978e+00,2.788541838437382306e-02
1.183718455457585916e+00,3.169519850062190586e-02
1.187328975372453632e+00,2.062175587389669315e-02
1.190939495287321348e+00,2.814136325698812433e-02
1.194550015202189064e+00,3.198522391552838240e-02
1.198160535117056780e+00,2.080988046734954730e-02
1.201771055031924496e+00,2.465385472769744332e-02
1.205343569474004228e+00,1.714213011424776598e-02
1.208954089388871944e+00,2.480121181771783451e-02
1.212564609303739660e+00,2.106005317232719984e-02
1.216175129218607376e+00,1.350785283271941674e-02
1.219785649133475092e+00,2.502341695346286740e-02
1.223396169048342808e+00,1.358805570891368636e-02
1.227006688963210523e+00,1.745021821656909944e-02
1.230617208878078461e+00,2.137359416141528662e-02
1.234227728792946177e+00,2.143630235923290467e-02
1.237838248707813893e+00,9.853713171981488134e-03
1.241448768622681609e+00,1.378856289939936822e-02
1.245021283064761342e+00,2.162376686639293916e-02
1.248631802979629057e+00,1.386834365519261716e-02
1.252280328367284978e+00,2.174984334832099145e-02
1.255852842809364267e+00,1.394854653138688505e-02
1.259463362724232427e+00,1.002585817642906094e-02
1.263073882639100143e+00,2.193730785548102594e-02
1.266684402553967637e+00,1.801450589871555347e-02
1.270294922468835352e+00,1.410895228377542950e-02
1.273905442383703068e+00,2.613366296504508052e-02
1.277515962298570784e+00,1.418915515996969912e-02
1.281126482213438722e+00,1.821989796692977809e-02
1.284737002128306438e+00,2.635586810079012035e-02
1.288347522043174154e+00,1.430945947426110962e-02
1.291958041958041870e+00,3.052838596368567456e-02
1.295530556400121602e+00,4.280085620837700139e-02
1.299141076314989318e+00,4.292013810639963567e-02
1.302751596229857034e+00,4.303942000442228383e-02
1.306362116144724750e+00,4.726905446458251614e-02
1.309972636059592688e+00,5.148019215884189898e-02
1.313583155974460404e+00,7.220478397644038149e-02
1.317193675889328119e+00,7.654767943881830849e-02
1.320804195804195835e+00,1.057233811753317126e-01
1.324414715719063551e+00,1.101795376399273274e-01
1.328025235633931045e+00,1.396041409369812580e-01
1.331597750076010778e+00,1.608865630708181949e-01
1.335208269990878494e+00,1.864034471437358842e-01
1.338818789905746209e+00,2.120980965210580438e-01
1.342429309820614147e+00,2.505578796792133911e-01
1.346039829735481863e+00,2.807510745408916542e-01
1.349650349650349579e+00,3.322929405231973554e-01
1.353260869565217295e+00,3.586016291953701418e-01
1.356871389480085011e+00,4.233840525234848773e-01
1.360481909394952726e+00,4.799448738709483075e-01
1.364092429309820664e+00,5.325079280266886705e-01
1.367702949224688380e+00,6.111195932678060716e-01
1.371275463666768113e+00,6.771759448751858423e-01
1.374885983581635829e+00,7.522406340302340011e-01
