# Stretch,Cauchy_stress
1.000000000000000000e+00,1.702087805811210164e-02
1.002642570965817104e+00,2.539066519788176282e-02
1.005455630381041798e+00,1.711373767755794764e-02
1.008268689796266271e+00,2.274263253878095262e-02
1.011081749211490965e+00,2.280608425283064608e-02
1.013894808626715660e+00,1.725737990138823119e-02
1.016707868041940133e+00,2.574685120006255448e-02
1.019520927457164827e+00,1.735314138394175934e-02
1.022248742647685615e+00,2.022876976174023400e-02
1.025061802062910310e+00,2.595840409832750675e-02
1.027874861478134783e+00,1.749533267621820182e-02
1.030687920893359477e+00,2.610087849919982481e-02
1.033500980308584172e+00,2.331177518601456472e-02
1.036314039723808644e+00,1.477084890004060416e-02
1.039127099139033339e+00,2.631459010050830535e-02
1.041940158554258034e+00,2.061843335538283278e-02
1.044753217969482506e+00,2.067409958304605722e-02
1.047566277384707201e+00,2.652830170181677549e-02
1.050379336799931673e+00,1.787837860643230053e-02
1.053192396215156368e+00,2.375593718436241550e-02
1.056005455630381062e+00,2.381938889841210549e-02
1.058818515045605535e+00,1.509161093916297665e-02
1.061546330236126545e+00,2.688232900095405623e-02
1.064359389651351240e+00,2.106207632130491572e-02
1.067172449066575712e+00,1.816421212253903350e-02
1.069985508481800407e+00,2.709604060226253330e-02
1.072798567897025102e+00,1.825997360509255818e-02
1.075611627312249574e+00,2.128474123195782733e-02
1.078424686727474269e+00,2.432507983159603107e-02
1.081237746142698741e+00,1.840361582892284520e-02
1.084050805557923436e+00,2.745222660444331803e-02
1.086863864973148130e+00,2.150740614261074241e-02
1.089591680163668919e+00,1.854580712119929115e-02
1.092404739578893391e+00,2.766377950270827377e-02
1.095217798994118308e+00,1.864156860375281929e-02
1.098030858409342780e+00,2.780625390358059529e-02
1.100843917824567475e+00,2.483077076477994971e-02
1.103656977239791948e+00,1.878521082758310284e-02
1.106470036655016642e+00,2.801996550488906890e-02
1.109283096070241337e+00,2.195104910853282881e-02
1.112096155485465809e+00,2.200671533619605325e-02
1.114909214900690504e+00,2.823367710619754944e-02
1.117722274315915199e+00,1.902461453396691801e-02
1.120535333731139671e+00,2.837615150706986056e-02
1.123348393146364366e+00,2.533838447717749048e-02
1.126161452561589060e+00,1.916825675779720156e-02
1.128889267752109848e+00,2.858770440533481977e-02
1.131702327167334321e+00,2.552681684011294180e-02
1.134515386582559016e+00,2.559026855416263874e-02
1.137328445997783710e+00,2.880141600664329685e-02
1.140141505413008183e+00,2.887265320707945240e-02
1.142954564828232877e+00,2.894389040751561143e-02
1.145767624243457572e+00,2.901512760795177046e-02
1.148580683658682045e+00,2.908636480838792601e-02
1.151393743073906739e+00,2.278435566809751053e-02
1.154206802489131212e+00,2.284002189576073497e-02
1.156934617679652222e+00,2.289400126804022953e-02
1.159747677094876916e+00,3.257889861278183419e-02
1.162560736510101389e+00,3.265792129960445184e-02
1.165373795925326084e+00,3.273694398642708336e-02
1.168186855340550778e+00,3.604906683810189805e-02
1.170999914755775251e+00,4.589094082153932774e-02
1.173812974170999945e+00,3.622268318452007141e-02
1.176626033586224640e+00,5.913725229205037126e-02
1.179439093001449113e+00,5.927863672482858171e-02
1.182252152416673807e+00,6.269204875439129965e-02
1.185065211831898280e+00,8.583270838658454971e-02
1.187878271247122974e+00,8.603645456531834601e-02
1.190691330662347669e+00,9.286392269649942910e-02
1.193504390077572141e+00,9.968965678753076431e-02
1.196232205268093152e+00,1.131603790050359215e-01
1.199045264683317846e+00,1.300521949320051496e-01
1.201858324098542319e+00,1.436624684541302210e-01
1.204671383513767013e+00,1.473661399308484887e-01
1.207484442928991486e+00,1.677614247317270879e-01
1.210297502344216181e+00,1.715019026851469508e-01
1.213110561759440875e+00,1.988271244142440219e-01
1.215923621174665348e+00,2.161142684660115054e-01
1.218736680589890042e+00,2.436320063995395246e-01
1.221549740005114737e+00,2.577513138955181415e-01
1.224362799420339210e+00,2.820987828985709878e-01
1.227090614610859998e+00,2.827272839814056193e-01
1.229903674026084914e+00,3.208524640078969092e-01
1.232716733441309387e+00,3.386789134201315110e-01
1.235529792856533859e+00,3.702612933678287033e-01
1.238342852271758554e+00,3.882406332180253772e-01
1.241155911686983249e+00,4.132022803682001144e-01
1.243968971102207943e+00,4.486360177508903480e-01
1.246782030517432416e+00,4.738048980340046068e-01
1.249595089932657110e+00,5.060687581197772511e-01
1.252408149347881805e+00,5.419045993596602884e-01
1.255221208763106278e+00,5.674743708514817797e-01
1.258034268178330750e+00,6.035985865071193945e-01
1.260847327593555667e+00,6.468577663361056995e-01
1.263660387008780139e+00,6.693199444221015204e-01
1.266388202199300927e+00,7.199032592289592580e-01
1.269201261614525622e+00,7.461262141546988191e-01
1.272014321029750317e+00,7.971367138811056297e-01
1.274827380444974789e+00,8.342172727328353021e-01
1.277640439860199484e+00,8.785257497468913490e-01
1.280453499275424178e+00,9.301442959600810800e-01
1.283266558690648651e+00,9.748779525411317426e-01
1.286079618105873346e+00,1.026917537858101470e+00
1.288892677521097818e+00,1.079139756530267613e+00
1.291705736936322513e+00,1.128040920274559378e+00
1.294433552126843523e+00,1.180649806307728866e+00
1.297246611542067996e+00,1.233551440784458553e+00
1.300059670957292690e+00,1.286635399556168347e+00
1.302872730372517385e+00,1.354433064117080310e+00
1.305685789787741857e+00,1.411598264503630462e+00
1.308498849202966552e+00,1.476312475384991219e+00
1.311311908618191024e+00,1.533997135219437702e+00
1.314124968033415719e+00,1.595552672826562546e+00
1.316938027448640414e+00,1.657357657417510177e+00
1.319751086863864886e+00,1.726717234461082606e+00
1.322564146279089581e+00,1.800017758654812727e+00
1.325377205694314275e+00,1.869982980480580315e+00
1.328190265109538748e+00,1.940192187653508205e+00
1.331003324524763443e+00,2.025453679622394088e+00
1.333731139715284453e+00,2.096121312748425947e+00
1.336544199130508925e+00,2.182032444575304542e+00
1.339357258545733620e+00,2.253422195719110732e+00
1.342170317960958092e+00,2.339988164805955506e+00
1.344983377376182787e+00,2.415692719796957544e+00
1.347796436791407482e+00,2.491730736606845298e+00
1.350098030858409182e+00,2.574528320310430995e+00
